stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
0001_A,,絵鞆団地,,42.3324005,140.936739,0001_A,,0,0001,,
0002_A,,絵鞆2丁目,,42.3345594,140.9398813,0002_A,,0,0002,,
0002_B,,絵鞆2丁目,,42.3341415,140.9408348,0002_B,,0,0002,,
0002_C,,絵鞆2丁目,,42.3345594,140.9398813,0002_C,,0,0002,,
0003_A,,絵鞆中央,,42.3359123,140.9397081,0003_A,,0,0003,,
0003_B,,絵鞆中央,,42.3358128,140.9384056,0003_B,,0,0003,,
0004_A,,絵鞆公園前,,42.3363491,140.9341338,0004_A,,0,0004,,
0005_A,,公営住宅前,,42.3344028,140.9339236,0005_A,,0,0005,,
0011_A,,絵鞆1丁目,,42.3349796,140.9414742,0011_A,,0,0011,,
0011_B,,絵鞆1丁目,,42.3347166,140.942363,0011_B,,0,0011,,
0012_A,,緑丘,,42.335698,140.9466517,0012_A,,0,0012,,
0012_B,,緑丘,,42.3354122,140.9467356,0012_B,,0,0012,,
0013_A,,祝津公園入口,,42.3387377,140.947496,0013_A,,0,0013,,
0013_B,,祝津公園入口,,42.3386594,140.947618,0013_B,,0,0013,,
0014_A,,祝津町2丁目,,42.3404642,140.9500926,0014_A,,0,0014,,
0014_B,,祝津町2丁目,,42.340379,140.9501687,0014_B,,0,0014,,
0015_A,,室蘭築港,,42.3403281,140.9514339,0015_A,,0,0015,,
0015_B,,室蘭築港,,42.3400139,140.9515551,0015_B,,0,0015,,
0016_A,,ドック前,,42.3392028,140.9530625,0016_A,,0,0016,,
0016_B,,ドック前,,42.338999,140.9530342,0016_B,,0,0016,,
0017_A,,楢崎造船前,,42.3375508,140.9560656,0017_A,,0,0017,,
0017_B,,楢崎造船前,,42.337258,140.9561436,0017_B,,0,0017,,
0021_A,,養護老人ホームあいらん前,,42.3325914,140.9434428,0021_A,,0,0021,,
0021_B,,養護老人ホームあいらん前,,42.3329202,140.9429205,0021_B,,0,0021,,
0022_A,,港南町入口,,42.3296956,140.9480402,0022_A,,0,0022,,
0022_B,,港南町入口,,42.3296564,140.9470408,0022_B,,0,0022,,
0023_A,,港南町2丁目,,42.3296783,140.951736,0023_A,,0,0023,,
0023_B,,港南町2丁目,,42.3296758,140.9510622,0023_B,,0,0023,,
0032_A,,増市通,,42.3259973,140.9509584,0032_A,,0,0032,,
0033_A,,桜ケ丘,,42.3279494,140.9531319,0033_A,,0,0033,,
0033_B,,桜ケ丘,,42.3281862,140.9530307,0033_B,,0,0033,,
0041_A,,みなと小学校前,,42.3322611,140.9540945,0041_A,,0,0041,,
0041_B,,みなと小学校前,,42.3324463,140.9540821,0041_B,,0,0041,,
0042_A,,港南町1丁目,,42.3338395,140.9558871,0042_A,,0,0042,,
0042_B,,港南町1丁目,,42.3342242,140.9562404,0042_B,,0,0042,,
0051_A,,港南町,,42.3348761,140.9597113,0051_A,,0,0051,,
0051_B,,港南町,,42.3350589,140.9590234,0051_B,,0,0051,,
0052_A,,小橋内,,42.3333028,140.9625849,0052_A,,0,0052,,
0052_B,,小橋内,,42.3339851,140.9612043,0052_B,,0,0052,,
0053_A,,小橋内1丁目,,42.3312914,140.9650575,0053_A,,0,0053,,
0053_B,,小橋内1丁目,,42.3319981,140.9639184,0053_B,,0,0053,,
0061_A,,通船前,,42.3267293,140.9682899,0061_A,,0,0061,,
0061_B,,通船前,,42.3280761,140.9676168,0061_B,,0,0061,,
0071_A,,中央埠頭入口,,42.3255433,140.9686818,0071_A,,0,0071,,
0071_B,,中央埠頭入口,,42.3255251,140.9684898,0071_B,,0,0071,,
0081_D,,室蘭観光協会前,のりば4,42.3217208,140.9701754,0081_D,,0,0081,,
0081_C,,室蘭観光協会前,のりば3,42.3217891,140.9703408,0081_C,,0,0081,,
0082_B,,室蘭駅前,のりば2,42.3177339,140.9736236,0082_B,,0,0082,,
0082_C,,室蘭駅前,のりば2,42.3177339,140.9736236,0082_C,,0,0082,,
0091_A,,海岸町3丁目,,42.3252609,140.9676978,0091_A,,0,0091,,
0092_A,,八幡宮前,,42.321991,140.9692945,0092_A,,0,0092,,
0101_A,,中央町,のりば1,42.3191793,140.9706756,0101_A,,0,0101,,
0101_B,,中央町,のりば2,42.3189327,140.9707217,0101_B,,0,0101,,
